,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Normalized Fare
183,184,1,2,0,1.0,2,1,39.0,0.14
184,185,1,3,1,4.0,0,2,22.025,-0.2
185,186,0,1,0,29.7,0,0,50.0,0.36
186,187,1,3,1,29.7,1,0,15.5,-0.34
187,188,1,1,0,45.0,0,0,26.55,-0.11
188,189,0,3,0,40.0,1,1,15.5,-0.34
189,190,0,3,0,36.0,0,0,7.8958,-0.49
190,191,1,2,1,32.0,0,0,13.0,-0.39
191,192,0,2,0,19.0,0,0,13.0,-0.39
192,193,1,3,1,19.0,1,0,7.8542,-0.49
193,194,1,2,0,3.0,1,1,26.0,-0.12
194,195,1,1,1,44.0,0,0,27.7208,-0.09
195,196,1,1,1,58.0,0,0,146.5208,2.3
196,197,0,3,0,29.7,0,0,7.75,-0.49
197,198,0,3,0,42.0,0,1,8.4042,-0.48
198,199,1,3,1,29.7,0,0,7.75,-0.49
199,200,0,2,1,24.0,0,0,13.0,-0.39
200,201,0,3,0,28.0,0,0,9.5,-0.46
201,202,0,3,0,29.7,8,2,69.55,0.75
202,203,0,3,0,34.0,0,0,6.4958,-0.52
203,204,0,3,0,45.5,0,0,7.225,-0.5
204,205,1,3,0,18.0,0,0,8.05,-0.49
205,206,0,3,1,2.0,0,1,10.4625,-0.44
206,207,0,3,0,32.0,1,0,15.85,-0.33
207,208,1,3,0,26.0,0,0,18.7875,-0.27
208,209,1,3,1,16.0,0,0,7.75,-0.49
209,210,1,1,0,40.0,0,0,31.0,-0.02
210,211,0,3,0,24.0,0,0,7.05,-0.51
211,212,1,2,1,35.0,0,0,21.0,-0.23
212,213,0,3,0,22.0,0,0,7.25,-0.5
213,214,0,2,0,30.0,0,0,13.0,-0.39
214,215,0,3,0,29.7,1,0,7.75,-0.49
215,216,1,1,1,31.0,1,0,113.275,1.63
216,217,1,3,1,27.0,0,0,7.925,-0.49
217,218,0,2,0,42.0,1,0,27.0,-0.1
218,219,1,1,1,32.0,0,0,76.2917,0.89
219,220,0,2,0,30.0,0,0,10.5,-0.44
220,221,1,3,0,16.0,0,0,8.05,-0.49
221,222,0,2,0,27.0,0,0,13.0,-0.39
222,223,0,3,0,51.0,0,0,8.05,-0.49
223,224,0,3,0,29.7,0,0,7.8958,-0.49
224,225,1,1,0,38.0,1,0,90.0,1.16
225,226,0,3,0,22.0,0,0,9.35,-0.46
226,227,1,2,0,19.0,0,0,10.5,-0.44
227,228,0,3,0,20.5,0,0,7.25,-0.5
228,229,0,2,0,18.0,0,0,13.0,-0.39
229,230,0,3,1,29.7,3,1,25.4667,-0.14
230,231,1,1,1,35.0,1,0,83.475,1.03
231,232,0,3,0,29.0,0,0,7.775,-0.49
232,233,0,2,0,59.0,0,0,13.5,-0.38
233,234,1,3,1,5.0,4,2,31.3875,-0.02
234,235,0,2,0,24.0,0,0,10.5,-0.44
235,236,0,3,1,29.7,0,0,7.55,-0.5
236,237,0,2,0,44.0,1,0,26.0,-0.12
237,238,1,2,1,8.0,0,2,26.25,-0.12
238,239,0,2,0,19.0,0,0,10.5,-0.44
239,240,0,2,0,33.0,0,0,12.275,-0.4
240,241,0,3,1,29.7,1,0,14.4542,-0.36
241,242,1,3,1,29.7,1,0,15.5,-0.34
242,243,0,2,0,29.0,0,0,10.5,-0.44
243,244,0,3,0,22.0,0,0,7.125,-0.5
244,245,0,3,0,30.0,0,0,7.225,-0.5
245,246,0,1,0,44.0,2,0,90.0,1.16
246,247,0,3,1,25.0,0,0,7.775,-0.49
247,248,1,2,1,24.0,0,2,14.5,-0.36
248,249,1,1,0,37.0,1,1,52.5542,0.41
249,250,0,2,0,54.0,1,0,26.0,-0.12
250,251,0,3,0,29.7,0,0,7.25,-0.5
251,252,0,3,1,29.0,1,1,10.4625,-0.44
252,253,0,1,0,62.0,0,0,26.55,-0.11
253,254,0,3,0,30.0,1,0,16.1,-0.32
254,255,0,3,1,41.0,0,2,20.2125,-0.24
255,256,1,3,1,29.0,0,2,15.2458,-0.34
256,257,1,1,1,29.7,0,0,79.2,0.95
257,258,1,1,1,30.0,0,0,86.5,1.09
258,259,1,1,1,35.0,0,0,512.3292,9.66
259,260,1,2,1,50.0,0,1,26.0,-0.12
260,261,0,3,0,29.7,0,0,7.75,-0.49
261,262,1,3,0,3.0,4,2,31.3875,-0.02
262,263,0,1,0,52.0,1,1,79.65,0.95
263,264,0,1,0,40.0,0,0,0.0,-0.65
264,265,0,3,1,29.7,0,0,7.75,-0.49
265,266,0,2,0,36.0,0,0,10.5,-0.44
266,267,0,3,0,16.0,4,1,39.6875,0.15
267,268,1,3,0,25.0,1,0,7.775,-0.49
268,269,1,1,1,58.0,0,1,153.4625,2.44
269,270,1,1,1,35.0,0,0,135.6333,2.08
270,271,0,1,0,29.7,0,0,31.0,-0.02
271,272,1,3,0,25.0,0,0,0.0,-0.65
272,273,1,2,1,41.0,0,1,19.5,-0.26
273,274,0,1,0,37.0,0,1,29.7,-0.05
274,275,1,3,1,29.7,0,0,7.75,-0.49
275,276,1,1,1,63.0,1,0,77.9583,0.92
276,277,0,3,1,45.0,0,0,7.75,-0.49
277,278,0,2,0,29.7,0,0,0.0,-0.65
278,279,0,3,0,7.0,4,1,29.125,-0.06
279,280,1,3,1,35.0,1,1,20.25,-0.24
280,281,0,3,0,65.0,0,0,7.75,-0.49
281,282,0,3,0,28.0,0,0,7.8542,-0.49
282,283,0,3,0,16.0,0,0,9.5,-0.46
283,284,1,3,0,19.0,0,0,8.05,-0.49
284,285,0,1,0,29.7,0,0,26.0,-0.12
285,286,0,3,0,33.0,0,0,8.6625,-0.47
286,287,1,3,0,30.0,0,0,9.5,-0.46
287,288,0,3,0,22.0,0,0,7.8958,-0.49
288,289,1,2,0,42.0,0,0,13.0,-0.39
289,290,1,3,1,22.0,0,0,7.75,-0.49
290,291,1,1,1,26.0,0,0,78.85,0.94
291,292,1,1,1,19.0,1,0,91.0792,1.18
292,293,0,2,0,36.0,0,0,12.875,-0.39
293,294,0,3,1,24.0,0,0,8.85,-0.47
294,295,0,3,0,24.0,0,0,7.8958,-0.49
295,296,0,1,0,29.7,0,0,27.7208,-0.09
296,297,0,3,0,23.5,0,0,7.2292,-0.5
297,298,0,1,1,2.0,1,2,151.55,2.4
298,299,1,1,0,29.7,0,0,30.5,-0.03
299,300,1,1,1,50.0,0,1,247.5208,4.33
300,301,1,3,1,29.7,0,0,7.75,-0.49
301,302,1,3,0,29.7,2,0,23.25,-0.18
302,303,0,3,0,19.0,0,0,0.0,-0.65
303,304,1,2,1,29.7,0,0,12.35,-0.4
304,305,0,3,0,29.7,0,0,8.05,-0.49
305,306,1,1,0,0.92,1,2,151.55,2.4
306,307,1,1,1,29.7,0,0,110.8833,1.58
307,308,1,1,1,17.0,1,0,108.9,1.54
308,309,0,2,0,30.0,1,0,24.0,-0.17
309,310,1,1,1,30.0,0,0,56.9292,0.5
310,311,1,1,1,24.0,0,0,83.1583,1.03
311,312,1,1,1,18.0,2,2,262.375,4.63
312,313,0,2,1,26.0,1,1,26.0,-0.12
313,314,0,3,0,28.0,0,0,7.8958,-0.49
314,315,0,2,0,43.0,1,1,26.25,-0.12
315,316,1,3,1,26.0,0,0,7.8542,-0.49
316,317,1,2,1,24.0,1,0,26.0,-0.12
317,318,0,2,0,54.0,0,0,14.0,-0.37
318,319,1,1,1,31.0,0,2,164.8667,2.67
319,320,1,1,1,40.0,1,1,134.5,2.06
320,321,0,3,0,22.0,0,0,7.25,-0.5
321,322,0,3,0,27.0,0,0,7.8958,-0.49
322,323,1,2,1,30.0,0,0,12.35,-0.4
323,324,1,2,1,22.0,1,1,29.0,-0.06
324,325,0,3,0,29.7,8,2,69.55,0.75
325,326,1,1,1,36.0,0,0,135.6333,2.08
326,327,0,3,0,61.0,0,0,6.2375,-0.52
327,328,1,2,1,36.0,0,0,13.0,-0.39
328,329,1,3,1,31.0,1,1,20.525,-0.23
329,330,1,1,1,16.0,0,1,57.9792,0.52
330,331,1,3,1,29.7,2,0,23.25,-0.18
331,332,0,1,0,45.5,0,0,28.5,-0.07
332,333,0,1,0,38.0,0,1,153.4625,2.44
333,334,0,3,0,16.0,2,0,18.0,-0.29
334,335,1,1,1,29.7,1,0,133.65,2.04
335,336,0,3,0,29.7,0,0,7.8958,-0.49
336,337,0,1,0,29.0,1,0,66.6,0.69
337,338,1,1,1,41.0,0,0,134.5,2.06
338,339,1,3,0,45.0,0,0,8.05,-0.49
339,340,0,1,0,45.0,0,0,35.5,0.07
340,341,1,2,0,2.0,1,1,26.0,-0.12
341,342,1,1,1,24.0,3,2,263.0,4.64
342,343,0,2,0,28.0,0,0,13.0,-0.39
343,344,0,2,0,25.0,0,0,13.0,-0.39
344,345,0,2,0,36.0,0,0,13.0,-0.39
345,346,1,2,1,24.0,0,0,13.0,-0.39
346,347,1,2,1,40.0,0,0,13.0,-0.39
347,348,1,3,1,29.7,1,0,16.1,-0.32
348,349,1,3,0,3.0,1,1,15.9,-0.33
349,350,0,3,0,42.0,0,0,8.6625,-0.47
350,351,0,3,0,23.0,0,0,9.225,-0.46
351,352,0,1,0,29.7,0,0,35.0,0.06
352,353,0,3,0,15.0,1,1,7.2292,-0.5
353,354,0,3,0,25.0,1,0,17.8,-0.29
354,355,0,3,0,29.7,0,0,7.225,-0.5
355,356,0,3,0,28.0,0,0,9.5,-0.46
356,357,1,1,1,22.0,0,1,55.0,0.46
357,358,0,2,1,38.0,0,0,13.0,-0.39
358,359,1,3,1,29.7,0,0,7.8792,-0.49
359,360,1,3,1,29.7,0,0,7.8792,-0.49
360,361,0,3,0,40.0,1,4,27.9,-0.09
361,362,0,2,0,29.0,1,0,27.7208,-0.09
362,363,0,3,1,45.0,0,1,14.4542,-0.36
363,364,0,3,0,35.0,0,0,7.05,-0.51
364,365,0,3,0,29.7,1,0,15.5,-0.34
365,366,0,3,0,30.0,0,0,7.25,-0.5
366,367,1,1,1,60.0,1,0,75.25,0.87
367,368,1,3,1,29.7,0,0,7.2292,-0.5
368,369,1,3,1,29.7,0,0,7.75,-0.49
369,370,1,1,1,24.0,0,0,69.3,0.75
370,371,1,1,0,25.0,1,0,55.4417,0.47
371,372,0,3,0,18.0,1,0,6.4958,-0.52
372,373,0,3,0,19.0,0,0,8.05,-0.49
373,374,0,1,0,22.0,0,0,135.6333,2.08
374,375,0,3,1,3.0,3,1,21.075,-0.22
375,376,1,1,1,29.7,1,0,82.1708,1.01
376,377,1,3,1,22.0,0,0,7.25,-0.5
377,378,0,1,0,27.0,0,2,211.5,3.61
378,379,0,3,0,20.0,0,0,4.0125,-0.57
379,380,0,3,0,19.0,0,0,7.775,-0.49
380,381,1,1,1,42.0,0,0,227.525,3.93
381,382,1,3,1,1.0,0,2,15.7417,-0.33
382,383,0,3,0,32.0,0,0,7.925,-0.49
383,384,1,1,1,35.0,1,0,52.0,0.4
384,385,0,3,0,29.7,0,0,7.8958,-0.49
385,386,0,2,0,18.0,0,0,73.5,0.83
386,387,0,3,0,1.0,5,2,46.9,0.3
387,388,1,2,1,36.0,0,0,13.0,-0.39
388,389,0,3,0,29.7,0,0,7.7292,-0.49
389,390,1,2,1,17.0,0,0,12.0,-0.41
390,391,1,1,0,36.0,1,2,120.0,1.77
391,392,1,3,0,21.0,0,0,7.7958,-0.49
392,393,0,3,0,28.0,2,0,7.925,-0.49
393,394,1,1,1,23.0,1,0,113.275,1.63
394,395,1,3,1,24.0,0,2,16.7,-0.31
395,396,0,3,0,22.0,0,0,7.7958,-0.49
396,397,0,3,1,31.0,0,0,7.8542,-0.49
397,398,0,2,0,46.0,0,0,26.0,-0.12
398,399,0,2,0,23.0,0,0,10.5,-0.44
399,400,1,2,1,28.0,0,0,12.65,-0.39
400,401,1,3,0,39.0,0,0,7.925,-0.49
401,402,0,3,0,26.0,0,0,8.05,-0.49
402,403,0,3,1,21.0,1,0,9.825,-0.45
403,404,0,3,0,28.0,1,0,15.85,-0.33
404,405,0,3,1,20.0,0,0,8.6625,-0.47
405,406,0,2,0,34.0,1,0,21.0,-0.23
406,407,0,3,0,51.0,0,0,7.75,-0.49
407,408,1,2,0,3.0,1,1,18.75,-0.27
408,409,0,3,0,21.0,0,0,7.775,-0.49
409,410,0,3,1,29.7,3,1,25.4667,-0.14
410,411,0,3,0,29.7,0,0,7.8958,-0.49
411,412,0,3,0,29.7,0,0,6.8583,-0.51
412,413,1,1,1,33.0,1,0,90.0,1.16
413,414,0,2,0,29.7,0,0,0.0,-0.65
414,415,1,3,0,44.0,0,0,7.925,-0.49
415,416,0,3,1,29.7,0,0,8.05,-0.49
416,417,1,2,1,34.0,1,1,32.5,0.01
417,418,1,2,1,18.0,0,2,13.0,-0.39
418,419,0,2,0,30.0,0,0,13.0,-0.39
419,420,0,3,1,10.0,0,2,24.15,-0.16
420,421,0,3,0,29.7,0,0,7.8958,-0.49
421,422,0,3,0,21.0,0,0,7.7333,-0.49
422,423,0,3,0,29.0,0,0,7.875,-0.49
423,424,0,3,1,28.0,1,1,14.4,-0.36
424,425,0,3,0,18.0,1,1,20.2125,-0.24
425,426,0,3,0,29.7,0,0,7.25,-0.5
426,427,1,2,1,28.0,1,0,26.0,-0.12
427,428,1,2,1,19.0,0,0,26.0,-0.12
428,429,0,3,0,29.7,0,0,7.75,-0.49
429,430,1,3,0,32.0,0,0,8.05,-0.49
430,431,1,1,0,28.0,0,0,26.55,-0.11
431,432,1,3,1,29.7,1,0,16.1,-0.32
432,433,1,2,1,42.0,1,0,26.0,-0.12
433,434,0,3,0,17.0,0,0,7.125,-0.5
434,435,0,1,0,50.0,1,0,55.9,0.48
435,436,1,1,1,14.0,1,2,120.0,1.77
436,437,0,3,1,21.0,2,2,34.375,0.04
437,438,1,2,1,24.0,2,3,18.75,-0.27
438,439,0,1,0,64.0,1,4,263.0,4.64
439,440,0,2,0,31.0,0,0,10.5,-0.44
440,441,1,2,1,45.0,1,1,26.25,-0.12
441,442,0,3,0,20.0,0,0,9.5,-0.46
442,443,0,3,0,25.0,1,0,7.775,-0.49
443,444,1,2,1,28.0,0,0,13.0,-0.39
444,445,1,3,0,29.7,0,0,8.1125,-0.48
445,446,1,1,0,4.0,0,2,81.8583,1.0
446,447,1,2,1,13.0,0,1,19.5,-0.26
447,448,1,1,0,34.0,0,0,26.55,-0.11
448,449,1,3,1,5.0,2,1,19.2583,-0.26
449,450,1,1,0,52.0,0,0,30.5,-0.03
450,451,0,2,0,36.0,1,2,27.75,-0.09
451,452,0,3,0,29.7,1,0,19.9667,-0.25
452,453,0,1,0,30.0,0,0,27.75,-0.09
453,454,1,1,0,49.0,1,0,89.1042,1.15
454,455,0,3,0,29.7,0,0,8.05,-0.49
455,456,1,3,0,29.0,0,0,7.8958,-0.49
456,457,0,1,0,65.0,0,0,26.55,-0.11
457,458,1,1,1,29.7,1,0,51.8625,0.4
458,459,1,2,1,50.0,0,0,10.5,-0.44
459,460,0,3,0,29.7,0,0,7.75,-0.49
460,461,1,1,0,48.0,0,0,26.55,-0.11
461,462,0,3,0,34.0,0,0,8.05,-0.49
462,463,0,1,0,47.0,0,0,38.5,0.13
463,464,0,2,0,48.0,0,0,13.0,-0.39
464,465,0,3,0,29.7,0,0,8.05,-0.49
465,466,0,3,0,38.0,0,0,7.05,-0.51
466,467,0,2,0,29.7,0,0,0.0,-0.65
467,468,0,1,0,56.0,0,0,26.55,-0.11
468,469,0,3,0,29.7,0,0,7.725,-0.49
469,470,1,3,1,0.75,2,1,19.2583,-0.26
470,471,0,3,0,29.7,0,0,7.25,-0.5
471,472,0,3,0,38.0,0,0,8.6625,-0.47
472,473,1,2,1,33.0,1,2,27.75,-0.09
473,474,1,2,1,23.0,0,0,13.7917,-0.37
474,475,0,3,1,22.0,0,0,9.8375,-0.45
475,476,0,1,0,29.7,0,0,52.0,0.4
476,477,0,2,0,34.0,1,0,21.0,-0.23
477,478,0,3,0,29.0,1,0,7.0458,-0.51
478,479,0,3,0,22.0,0,0,7.5208,-0.5
479,480,1,3,1,2.0,0,1,12.2875,-0.4
480,481,0,3,0,9.0,5,2,46.9,0.3
481,482,0,2,0,29.7,0,0,0.0,-0.65
482,483,0,3,0,50.0,0,0,8.05,-0.49
483,484,1,3,1,63.0,0,0,9.5875,-0.46
484,485,1,1,0,25.0,1,0,91.0792,1.18
485,486,0,3,1,29.7,3,1,25.4667,-0.14
486,487,1,1,1,35.0,1,0,90.0,1.16
487,488,0,1,0,58.0,0,0,29.7,-0.05
488,489,0,3,0,30.0,0,0,8.05,-0.49
489,490,1,3,0,9.0,1,1,15.9,-0.33
490,491,0,3,0,29.7,1,0,19.9667,-0.25
491,492,0,3,0,21.0,0,0,7.25,-0.5
492,493,0,1,0,55.0,0,0,30.5,-0.03
493,494,0,1,0,71.0,0,0,49.5042,0.35
494,495,0,3,0,21.0,0,0,8.05,-0.49
495,496,0,3,0,29.7,0,0,14.4583,-0.36
496,497,1,1,1,54.0,1,0,78.2667,0.93
497,498,0,3,0,29.7,0,0,15.1,-0.34
498,499,0,1,1,25.0,1,2,151.55,2.4
499,500,0,3,0,24.0,0,0,7.7958,-0.49
500,501,0,3,0,17.0,0,0,8.6625,-0.47
501,502,0,3,1,21.0,0,0,7.75,-0.49
502,503,0,3,1,29.7,0,0,7.6292,-0.49
503,504,0,3,1,37.0,0,0,9.5875,-0.46
504,505,1,1,1,16.0,0,0,86.5,1.09
505,506,0,1,0,18.0,1,0,108.9,1.54
506,507,1,2,1,33.0,0,2,26.0,-0.12
507,508,1,1,0,29.7,0,0,26.55,-0.11
508,509,0,3,0,28.0,0,0,22.525,-0.19
509,510,1,3,0,26.0,0,0,56.4958,0.49
510,511,1,3,0,29.0,0,0,7.75,-0.49
511,512,0,3,0,29.7,0,0,8.05,-0.49
512,513,1,1,0,36.0,0,0,26.2875,-0.12
